raw_query,optimized_query
Em chao bac si a toi uong ibup qua lieu thi nen xu ly the nao a,Em chào bác sĩ ạ tôi uống ibuprofen quá liều thì nên xử lý thế nào ạ
"Em muon hoi la bi gay xuong dui dam thung da kem mat nhan thuc nguy kich qua, phai so cuu sao a?","Em muốn hỏi là bị gãy xương đùi đâm thủng da kèm mất nhận thức nguy kịch quá, phải sơ cứu sao ạ?"
Chào bác sĩ ạ thuốc thuốc tiểu đường metformin có tương tác với các loại thuốc điều trị tiểu đường tuýp 2 không thế ạ,Chào bác sĩ ạ thuốc metformin có tương tác với các loại thuốc điều trị đái tháo đường không thế ạ
Mọi người cho em hỏi Tôi hay bị đau nhói nhẹ lồng ngực vùng tim khi hít thở sâu hoặc thay đổi tư thế xin cảm ơn bác sĩ,Mọi người cho em hỏi Tôi hay bị đau nhói nhẹ lồng ngực vùng tim khi hít thở sâu hoặc thay đổi tư thế xin cảm ơn bác sĩ
Bac si oi giup em voi co che tac dong cua thuoc giam dau para chon dieu tri sung khop do gut la gi,Bác sĩ ơi giúp em với cơ chế tác động của paracetamol trong điều trị gout là gì
Bac si oi giup em voi lam the nao de ha mo mau tu nhien hieu qua nhat tai nha voi a,Bác sĩ ơi giúp em với làm thế nào để hạ mỡ máu tự nhiên hiệu quả nhất tại nhà với ạ
Bac si cho em hoi chtu a nguoi nha bi nuot nahm acid dnag dat nguy hiem tin mang cuu voi a !,Bác sĩ cho em hỏi chút ạ người nhà bị nuốt nhầm acid đang rất nguy hiểm tính mạng cứu với ạ !
Bac si giai dap giup em che em doui 6 tuoi uong thuoc giam dau pada lieu bao nhieu la an toan nhe bac si,Bác sĩ giải đáp giúp em trẻ em dưới 6 tuổi uống paracetamol liều bao nhiêu là an toàn nhé bác sĩ
Da cho em hoi lam the nao de giu dang thon gon hieu qua nhat tai nha nha bac si,Dạ cho em hỏi làm thế nào để giữ dáng thon gọn hiệu quả nhất tại nhà nha bác sĩ
Da bac si cho em hoi Bi dau nua dau kinh nien khi thay doi thoi tiet chuyen lanh dot ngot a em cam on,Dạ bác sĩ cho em hỏi Bị đau nửa đầu kinh niên khi thay đổi thời tiết chuyển lạnh đột ngột ạ em cảm ơn
"Da thua bac si con uong nham thuoc diet co paraquat sui bot mep, cuu mang voi a?","Dạ thưa bác sĩ con uống nhầm thuốc diệt cỏ paraquat sùi bọt mép, cứu mạng với ạ?"
Chào bác sĩ ạ dùn metformin hạ đường huyết kéo dài có gây suy gan hay suy thận không ạ em cảm ơn bác sĩ,Chào bác sĩ ạ dùng metformin kéo dài có gây suy gan hay suy thận không ạ em cảm ơn bác sĩ
"Thua bac si bi chan thuong so nao mau chay nhieu kem non ra mau tuoi o at nguy kich qua, phai so cuu sao a em cam on bac si","Thưa bác sĩ bị chấn thương sọ não máu chảy nhiều kèm nôn ra máu tươi ồ ạt nguy kịch quá, phải sơ cứu sao ạ em cảm ơn bác sĩ"
Alo bác sĩ làm thế nào để tăn sự tập trung hiệu quả nhất tại nà thế ạ,Alo bác sĩ làm thế nào để tăng sự tập trung hiệu quả nhất tại nhà thế ạ
Chao bac si a an gi hoac kiegn gi de tan cuong the luc tot nhat a !,Chào bác sĩ ạ ăn gì hoặc kiêng gì để tăng cường thể lực tốt nhất ạ !
Moi nguoi cho em hoi an gi hoac kieng gi de on dinh he tieu hoa tot nhat nha,Mọi người cho em hỏi ăn gì hoặc kiêng gì để ổn định hệ tiêu hóa tốt nhất nha
Bac si giai dap giup em an gi hoac kieng gi de tang cuong tri nho tot nhat nha,Bác sĩ giải đáp giúp em ăn gì hoặc kiêng gì để tăng cường trí nhớ tốt nhất nha
Alo bac si co che tac dong cua paracetamol trong dieu tri viem loet da day la gi voi a,Alo bác sĩ cơ chế tác động của paracetamol trong điều trị viêm loét dạ dày là gì với ạ
Bác sĩ tư vấn giúp em sự khác biệt giữa thuốc giảm đau para và amoxicillin trong chữa trị đau bụng giúp em với ạ,Bác sĩ tư vấn giúp em sự khác biệt giữa paracetamol và amoxicillin trong chữa trị đau bụng giúp em với ạ
"Da cho em hoi khan cap benh nhan vo mach mau phun thanh tia dan ngung tho, co can ho hap nahn tao khong","Dạ cho em hỏi khẩn cấp bệnh nhân vỡ mạch máu phun thành tia đang ngừng thở, có cần hô hấp nhân tạo không"
Em muon hoi la luu y quan trong nhat khi su dung asprin la gi a em cam on bac si,Em muốn hỏi là lưu ý quan trọng nhất khi sử dụng aspirin là gì ạ em cảm ơn bác sĩ
Em chao bac si a co che tac dong cua aspirin trong dieu tri tang huyet ap la gi a em cam on,Em chào bác sĩ ạ cơ chế tác động của aspirin trong điều trị tăng huyết áp là gì ạ em cảm ơn
"Chao bac si a tai nan xe may lam nan nhan bi vo mach mau phnu than tia chay mau o at, lam sao cam mau a sin cam on niheu","Chào bác sĩ ạ tai nạn xe máy làm nạn nhân bị vỡ mạch máu phun thành tia chảy máu ồ ạt, làm sao cầm máu ạ xin cảm ơn nhiều"
Em chao bac si a an gi hoac kieng gi de tang su tap trung tot nhat nhe bac si,Em chào bác sĩ ạ ăn gì hoặc kiêng gì để tăng sự tập trung tốt nhất nhe bác sĩ
Dạ bác sĩ cho em hỏi nhữgn thói quen tốt giúp nâgn cao khả năng tập trung né bác sĩ,Dạ bác sĩ cho em hỏi những thói quen tốt giúp nâng cao khả năng tập trung nhé bác sĩ
Moi nguoi cho em hoi loi ich cua viec di bo nhe nhang vao moi buoi sang/toi ne bac si,Mọi người cho em hỏi lợi ích của việc đi bộ nhẹ nhàng vào mỗi buổi sáng/tối nhé bác sĩ
"Cho em hỏi bị bỏng nặng toàn thân do nổ bình gas kèm ngừng thở hoàn toàn nguy kịch quá, phải sơ cứu sao ạ","Cho em hỏi bị bỏng nặng toàn thân do nổ bình gas kèm ngừng thở hoàn toàn nguy kịch quá, phải sơ cứu sao ạ"
Bac si tu van giup em bi dot quy dau nguc du doi nhu da de meo mieng te liet nua nguoi goi cap cuu chua thay toi phai lam gi sin cam on bac si,Bác sĩ tư vấn giúp em bị đột quỵ đau ngực dữ dội như đá đè méo miệng tê liệt nửa người gọi cấp cứu chưa thấy tới phải làm gì xin cảm ơn bác sĩ
Chào bác sĩ ạ liều lượng uống thuốc giảm đau para cho người bị mất ngủ như thế nào ạ xin cảm ơn,Chào bác sĩ ạ liều lượng uống paracetamol cho người bị mất ngủ như thế nào ạ xin cảm ơn
Da bac si cho em hoi an gi haoc kieng gi de tang can lan manh tot nhat a !,Dạ bác sĩ cho em hỏi ăn gì hoặc kiêng gì để tăng cân lành mạnh tốt nhất ạ !
Tôi bị mất ngủ thì có nên uống met không xin cảm ơn bác sĩ,Tôi bị mất ngủ thì có nên uống metformin không xin cảm ơn bác sĩ
Em chào bác sĩ ạ phụ nữ có thai có được sử dụng asprin để chữa mất ngủ ạ xin cảm ơn,Em chào bác sĩ ạ phụ nữ có thai có được sử dụng aspirin để chữa mất ngủ ạ xin cảm ơn
Alo bac si lam the nao de tang can lahn manh hieu qua nhat tai nha a cam on bac si,Alo bác sĩ làm thế nào để tăng cân lành mạnh hiệu quả nhất tại nhà ạ cảm ơn bác sĩ
Thua bac si nguoi nha bi duoi nuoc dang rat nguy cap cuu voi a xin cam on,Thưa bác sĩ người nhà bị đuối nước đang rất nguy cấp cứu với ạ xin cảm ơn
Cho em hoi ti a nguoi na bi nuto nham acid dang rat nguy cap cuu voi a em cam on bac si,Cho em hỏi tí ạ người nhà bị nuốt nhầm acid đang rất nguy cấp cứu với ạ em cảm ơn bác sĩ
Bác sĩ cho em hỏi chút ạ bị chấn thương sọ não máu chảy niều nghẹt thở ho sặc sụa trnợ mắt lên thì sơ cứu thế nào xin cảm ơn bác sĩ,Bác sĩ cho em hỏi chút ạ bị chấn thương sọ não máu chảy nhiều nghẹt thở ho sặc sụa trợn mắt lên thì sơ cứu thế nào xin cảm ơn bác sĩ
Dun amoxicillin keo dai co gay suy gan hay suy than khong a xin cam on,Dùng amoxicillin kéo dài có gây suy gan hay suy thận không ạ xin cảm ơn
"Bac si giai dap giup em khan cap benh nhan gay xuong dui dam thung da dang ngung tho, co can ho hap nhan tao khong nhe bac si","Bác sĩ giải đáp giúp em khẩn cấp bệnh nhân gãy xương đùi đâm thủng da đang ngừng thở, có cần hô hấp nhân tạo không nhé bác sĩ"
Alo bác sĩ bện nâhn mo mau có cần kinêg khem gì khi uống pana không ạ?,Alo bác sĩ bệnh nhân rối loạn lipid máu có cần kiêng khem gì khi uống paracetamol không ạ?
Bac si oi dup em voi co che tac dong cua pana trong diue tri duong huyet cao la gi a em cam on,Bác sĩ ơi giúp em với cơ chế tác động của paracetamol trong điều trị đái tháo đường là gì ạ em cảm ơn
Chao bac si a dung thuoc khang viem ibuprofen keo dai co gay suy gan hay suy than khong a cam on bac si,Chào bác sĩ ạ dùng ibuprofen kéo dài có gây suy gan hay suy thận không ạ cảm ơn bác sĩ
Bac si giai dap giup em nhung thoi quen tot giup nang cao kha nang tap trung,Bác sĩ giải đáp giúp em những thói quen tốt giúp nâng cao khả năng tập trung
"Bi chan thuong so nao mau chay nhieu kem mach dap cuc ky yeu nguy kich qua, phai so cuu sao voi a","Bị chấn thương sọ não máu chảy nhiều kèm mạch đập cực kỳ yếu nguy kịch quá, phải sơ cứu sao với ạ"
Em caho bac si a loi ich cua viec chay bo 30 phut vao moi buoi sang/toi nha,Em chào bác sĩ ạ lợi ích của việc chạy bộ 30 phút vào mỗi buổi sáng/tối nha
Moi nguoi cho em hoi dung ibu keo dai co gay suy gan hay suy than khong,Mọi người cho em hỏi dùng ibuprofen kéo dài có gây suy gan hay suy thận không
Da thua bac si phu nu co thai co duoc su dung amox de chua dau dau the a,Dạ thưa bác sĩ phụ nữ có thai có được sử dụng amoxicillin để chữa đau đầu thế ạ
Da bac si cho em hoi lieu luong uong thuoc khang viem ibuprofen cho nguoi bi dau dau nhu the nao a xin cam on,Dạ bác sĩ cho em hỏi liều lượng uống ibuprofen cho người bị đau đầu như thế nào ạ xin cảm ơn
"Bac si tu van giup em con uong nham thuoc tru sau sui bot mep, cuu mang voi a xin cam on","Bác sĩ tư vấn giúp em con uống nhầm thuốc trừ sâu sùi bọt mép, cứu mạng với ạ xin cảm ơn"
Dạ bác sĩ người nà bị đuiố nước đagn rất khẩn cấp cứu với ạ xin cảm ơn,Dạ bác sĩ người nhà bị đuối nước đang rất khẩn cấp cứu với ạ xin cảm ơn
Thua bac si Bi xuoc da dau goi rom it mau sau khi nga xe nhe ngoai duong the a,Thưa bác sĩ Bị xước da đầu gối rớm ít máu sau khi ngã xe nhẹ ngoài đường thế ạ
Da bac si cho em hoi tac dung cua dau o liu doi voi suc khoe la gi a !,Dạ bác sĩ cho em hỏi tác dụng của dầu ô liu đối với sức khỏe là gì ạ !
Cho hoi benh nhan gut co can kieng khem gi khi uong ibup khong xin cam on bac si,Cho hỏi bệnh nhân gout có cần kiêng khem gì khi uống ibuprofen không xin cảm ơn bác sĩ
Làm thế nào để hạ mỡ máu tự niên hiệu quả nhất tại nhà ạ?,Làm thế nào để hạ mỡ máu tự nhiên hiệu quả nhất tại nhà ạ?
"Cho hỏi tai nạn xe máy làm nạn nhân bị gãy xương đùi đâm thủng da chảy máu ồ ạt, làm sao cầm máu giúp em","Cho hỏi tai nạn xe máy làm nạn nhân bị gãy xương đùi đâm thủng da chảy máu ồ ạt, làm sao cầm máu giúp em"
"Cho em hỏi khẩn cấp bệnh nhân chấn thương sọ não máu chảy nhiều đang nừgng thở, có cần hô hấp nân tạo không ạ cảm ơn bác sĩ","Cho em hỏi khẩn cấp bệnh nhân chấn thương sọ não máu chảy nhiều đang ngừng thở, có cần hô hấp nhân tạo không ạ cảm ơn bác sĩ"
Dạ bác sĩ dùng amoc kéo dài có gây suy gan hay suy thận không ạ cảm ơn bác sĩ,Dạ bác sĩ dùng amoxicillin kéo dài có gây suy gan hay suy thận không ạ cảm ơn bác sĩ
Bác sĩ tư vấn giúp em thời điểm uống metfor tốt nhất trong ngày là lúc nào ạ em cảm ơn,Bác sĩ tư vấn giúp em thời điểm uống metformin tốt nhất trong ngày là lúc nào ạ em cảm ơn
Bác sĩ ơi cho em hỏi Bé bị sốt nẹ 38 độ mệt mỏi nhnưg vẫn bú sữa mẹ bình thường ạ cảm ơn bác sĩ,Bác sĩ ơi cho em hỏi Bé bị sốt nhẹ 38 độ mệt mỏi nhưng vẫn bú sữa mẹ bình thường ạ cảm ơn bác sĩ
"Da bac si cho em hoi bi dau nguc du doi nhu da de kem co giat lien hoi nuy kich qua, phai so cuu sao nha bac si","Dạ bác sĩ cho em hỏi bị đau ngực dữ dội như đá đè kèm co giật liên hồi nguy kịch quá, phải sơ cứu sao nha bác sĩ"
"Alo bác sĩ tai nạn xe máy làm nạn nhân bị đuiố nước chảy máu ồ ạt, làm sao cầm máu sin cảm ơn bác sĩ","Alo bác sĩ tai nạn xe máy làm nạn nhân bị đuối nước chảy máu ồ ạt, làm sao cầm máu xin cảm ơn bác sĩ"
Da bac si cho em hoi toi uong metformin ha duong huyet qua lieu thi nen xu ly the nao nhe bac si,Dạ bác sĩ cho em hỏi tôi uống metformin quá liều thì nên xử lý thế nào nhé bác sĩ
Bác sĩ giải đáp gipú em những thói quen tốt giúp nâng cao sức khỏe tinh thần ạ cảm ơn bác sĩ,Bác sĩ giải đáp giúp em những thói quen tốt giúp nâng cao sức khỏe tinh thần ạ cảm ơn bác sĩ
Chao bac si a thoi diem uong klamentin tot nhat trong ngay la luc nao giup em voi a,Chào bác sĩ ạ thời điểm uống amoxicillin tốt nhất trong ngày là lúc nào giúp em với ạ
Bác sĩ cho em hỏi chút ạ bị đột quỵ chấn thương sọ não máu chyả nhiều méo miện tê litệ nửa ngờưi gọi cấp cứu chưa thấy tới phải làm gì,Bác sĩ cho em hỏi chút ạ bị đột quỵ chấn thương sọ não máu chảy nhiều méo miệng tê liệt nửa người gọi cấp cứu chưa thấy tới phải làm gì
Bác sĩ ơi cho em hỏi bị đột quỵ đột quỵ não litệ hoàn toàn nửa người méo miệng tê liệt nửa người gọi cấp cứu chưa thấy tới phải làm gì,Bác sĩ ơi cho em hỏi bị đột quỵ đột quỵ não liệt hoàn toàn nửa người méo miệng tê liệt nửa người gọi cấp cứu chưa thấy tới phải làm gì
Em muon hoi la lam sao de bao ve suc khoe tim mach khi lam viec van phong nhieu a,Em muốn hỏi là làm sao để bảo vệ sức khỏe tim mạch khi làm việc văn phòng nhiều ạ
Bác sĩ cho em hỏi chút ạ lưu ý quan trọng nhất khi sử dụng metformin là gì ạ cảm ơn bác sĩ,Bác sĩ cho em hỏi chút ạ lưu ý quan trọng nhất khi sử dụng metformin là gì ạ cảm ơn bác sĩ
Chào bác sĩ ạ thuốc metformin hạ đườn huyết có tương tác với các loại thuốc điều trị cholesterol cao không giúp em,Chào bác sĩ ạ thuốc metformin có tương tác với các loại thuốc điều trị rối loạn lipid máu không giúp em
Bác sĩ ơi cho em hỏi liều lượng uống asprin cho người bị đau bụng như thế nào ạ !,Bác sĩ ơi cho em hỏi liều lượng uống aspirin cho người bị đau bụng như thế nào ạ !
Cho hoi loi ich cua vice gian co thu dan vao moi buoi sang/toi a xin cam on nhieu,Cho hỏi lợi ích của việc giãn cơ thư giãn vào mỗi buổi sáng/tối ạ xin cảm ơn nhiều
Co che tac dnog cua thuoc amos trong dieu chi benh hen suyen la gi a em cam on,Cơ chế tác động của amoxicillin trong điều trị hen phế quản là gì ạ em cảm ơn
Dạ thưa bác sĩ bệnh nhân cholesterol cao có cần kiêng khem gì khi uống ibuprofen không ạ em cảm ơn,Dạ thưa bác sĩ bệnh nhân rối loạn lipid máu có cần kiêng khem gì khi uống ibuprofen không ạ em cảm ơn
Bac si cho em hoi chut a dung panadol keo dai co gay suy gan hay suy than khong nha bac si,Bác sĩ cho em hỏi chút ạ dùng paracetamol kéo dài có gây suy gan hay suy thận không nha bác sĩ
Chao bac si a bi dot quy di vat duong tho tac hoan toan meo mieng te liet nua nguoi goi cap cuu chua thay toi phai lam gi a !,Chào bác sĩ ạ bị đột quỵ dị vật đường thở tắc hoàn toàn méo miệng tê liệt nửa người gọi cấp cứu chưa thấy tới phải làm gì ạ !
"Moi nguoi cho em hoi khan cap benh nhan gay xuong dui dam thung da dang ngung tho, co can ho hap nhan tao khong a xin cam on nhieu","Mọi người cho em hỏi khẩn cấp bệnh nhân gãy xương đùi đâm thủng da đang ngừng thở, có cần hô hấp nhân tạo không ạ xin cảm ơn nhiều"
Thua bac si Tre bi sot ham hap nong nguoi sau khi di tiem phong ve na bac si,Thưa bác sĩ Trẻ bị sốt hâm hấp nóng người sau khi đi tiêm phòng về nha bác sĩ
"Cho hoi Cap cuu gap nguoi bneh ngung tuan haon, ngnug tho hoan toan long nguc kohn phap phong voi a","Cho hỏi Cấp cứu gấp người bệnh ngừng tuần hoàn, ngừng thở hoàn toàn lồng ngực không phập phồng với ạ"
Bác sĩ ơi tác dụng phụ của amoxi khi dùn chung với paracetamol là gì ạ,Bác sĩ ơi tác dụng phụ của amoxicillin khi dùng chung với paracetamol là gì ạ
Em muốn hỏi là Cấp cứu gấp người nhà đột ngột đau ngực dữ dội như đá đè lan ra vai tári và vã mồ hôi lạnh ngắt ạ,Em muốn hỏi là Cấp cứu gấp người nhà đột ngột đau ngực dữ dội như đá đè lan ra vai trái và vã mồ hôi lạnh ngắt ạ
Cho em hỏi tí ạ bệnh nhân cao huyết áp có cần kiêng khem gì khi uống giảm đau kháng viêm ibu không giúp em với ạ,Cho em hỏi tí ạ bệnh nhân tăng huyết áp có cần kiêng khem gì khi uống ibuprofen không giúp em với ạ
Bác sĩ tư vấn giúp em cấp cứu gấp người bị chấn thơưng sọ não máu chảy nhềiu đột ngột ngtấ xỉu tím tái toàn thân xin cảm ơn bác sĩ,Bác sĩ tư vấn giúp em cấp cứu gấp người bị chấn thương sọ não máu chảy nhiều đột ngột ngất xỉu tím tái toàn thân xin cảm ơn bác sĩ
Bac si oi lam the nao de giam dau moi vai gay hieu qua nhat tai nha gipu em,Bác sĩ ơi làm thế nào để giảm đau mỏi vai gáy hiệu quả nhất tại nhà giúp em
Cho em hoi ti a Thinh thoang bi te bi dau ngon tay nhe hoac cham chich o canh tay giup em voi a,Cho em hỏi tí ạ Thỉnh thoảng bị tê bì đầu ngón tay nhẹ hoặc châm chích ở cánh tay giúp em với ạ
